spec,netlist,spice_testbench,pyspice_testbench,analyses,measurements,stimuli
examples\analogcoder_pro_28_specs\p11_highpass.yaml,benchmark_analogcoder_pro_28\p11_highpass.cir,testbenches\analogcoder_pro_28\p11_highpass_tb.cir,testbenches\analogcoder_pro_28\p11_highpass_tb.py,"ac,tran","dc_gain,cutoff_frequency_hz,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p12_bandpass.yaml,benchmark_analogcoder_pro_28\p12_bandpass.cir,testbenches\analogcoder_pro_28\p12_bandpass_tb.cir,testbenches\analogcoder_pro_28\p12_bandpass_tb.py,"ac,tran","dc_gain,cutoff_frequency_hz,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p13_bandstop.yaml,benchmark_analogcoder_pro_28\p13_bandstop.cir,testbenches\analogcoder_pro_28\p13_bandstop_tb.cir,testbenches\analogcoder_pro_28\p13_bandstop_tb.py,"ac,tran","dc_gain,cutoff_frequency_hz,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p14_amplifier.yaml,benchmark_analogcoder_pro_28\p14_amplifier.cir,testbenches\analogcoder_pro_28\p14_amplifier_tb.cir,testbenches\analogcoder_pro_28\p14_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p15_amplifier.yaml,benchmark_analogcoder_pro_28\p15_amplifier.cir,testbenches\analogcoder_pro_28\p15_amplifier_tb.cir,testbenches\analogcoder_pro_28\p15_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p16_opamp.yaml,benchmark_analogcoder_pro_28\p16_opamp.cir,testbenches\analogcoder_pro_28\p16_opamp_tb.cir,testbenches\analogcoder_pro_28\p16_opamp_tb.py,"dc,ac,tran","vout_dc,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p17_currentmirror.yaml,benchmark_analogcoder_pro_28\p17_currentmirror.cir,testbenches\analogcoder_pro_28\p17_currentmirror_tb.cir,testbenches\analogcoder_pro_28\p17_currentmirror_tb.py,"dc,tran","operating_point,quiescent_current,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p18_opamp.yaml,benchmark_analogcoder_pro_28\p18_opamp.cir,testbenches\analogcoder_pro_28\p18_opamp_tb.cir,testbenches\analogcoder_pro_28\p18_opamp_tb.py,"dc,ac,tran","vout_dc,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p19_mixer.yaml,benchmark_analogcoder_pro_28\p19_mixer.cir,testbenches\analogcoder_pro_28\p19_mixer_tb.cir,testbenches\analogcoder_pro_28\p19_mixer_tb.py,"tran,tran,fourier","slew_rate,settling_time,thd_percent,fundamental_frequency","vin,vin"
examples\analogcoder_pro_28_specs\p20_opamp.yaml,benchmark_analogcoder_pro_28\p20_opamp.cir,testbenches\analogcoder_pro_28\p20_opamp_tb.cir,testbenches\analogcoder_pro_28\p20_opamp_tb.py,"dc,ac,tran","vout_dc,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p21_opamp.yaml,benchmark_analogcoder_pro_28\p21_opamp.cir,testbenches\analogcoder_pro_28\p21_opamp_tb.cir,testbenches\analogcoder_pro_28\p21_opamp_tb.py,"dc,ac,tran","vout_dc,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p22_oscillator.yaml,benchmark_analogcoder_pro_28\p22_oscillator.cir,testbenches\analogcoder_pro_28\p22_oscillator_tb.cir,testbenches\analogcoder_pro_28\p22_oscillator_tb.py,"tran,tran,fourier","slew_rate,settling_time,oscillator_frequency,startup_amplitude,thd,fundamental_frequency",
examples\analogcoder_pro_28_specs\p23_oscillator.yaml,benchmark_analogcoder_pro_28\p23_oscillator.cir,testbenches\analogcoder_pro_28\p23_oscillator_tb.cir,testbenches\analogcoder_pro_28\p23_oscillator_tb.py,"tran,tran,fourier","slew_rate,settling_time,oscillator_frequency,startup_amplitude,thd,fundamental_frequency",
examples\analogcoder_pro_28_specs\p24_integrator.yaml,benchmark_analogcoder_pro_28\p24_integrator.cir,testbenches\analogcoder_pro_28\p24_integrator_tb.cir,testbenches\analogcoder_pro_28\p24_integrator_tb.py,tran,"slew_rate,settling_time",vin
examples\analogcoder_pro_28_specs\p25_differentiator.yaml,benchmark_analogcoder_pro_28\p25_differentiator.cir,testbenches\analogcoder_pro_28\p25_differentiator_tb.cir,testbenches\analogcoder_pro_28\p25_differentiator_tb.py,tran,"slew_rate,settling_time",vin
examples\analogcoder_pro_28_specs\p26_adder.yaml,benchmark_analogcoder_pro_28\p26_adder.cir,testbenches\analogcoder_pro_28\p26_adder_tb.cir,testbenches\analogcoder_pro_28\p26_adder_tb.py,"dc,tran","operating_point,idd,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p27_subtractor.yaml,benchmark_analogcoder_pro_28\p27_subtractor.cir,testbenches\analogcoder_pro_28\p27_subtractor_tb.cir,testbenches\analogcoder_pro_28\p27_subtractor_tb.py,"dc,tran","operating_point,idd,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p28_schmitt.yaml,benchmark_analogcoder_pro_28\p28_schmitt.cir,testbenches\analogcoder_pro_28\p28_schmitt_tb.cir,testbenches\analogcoder_pro_28\p28_schmitt_tb.py,tran,"slew_rate,settling_time,propagation_delay",vin
