Id	Level	Circuit	Input	Output	Type	Submodule Name	Testbench	Normal
27	Hard	An Op-amp subtractor to make Vout=Vin2-Vin1	Vin1, Vin2	Vout	Subtractor	Unknown	NA	NA
28	Hard	A non-inverting Schmitt trigger with positive feedback op-map	Vin	Vout	Schmitt	Unknown	The testbench inputs a sine wave at Vin.	The output (Vout) should be a square wave.
29	Hard	a Wien-bridge voltage‑controlled oscillator (Op-Amp based, RC network, no diodes)	Vin, Vctrl	Vout	VCO	Unknown	The testbench initializes the op-amp non-inverting input (Vinp) to 2.51V and the inverting input (Vinn) to 2.5V.	Vout should oscillate periodically, with its frequency varying according to Vctrl.
51	Opt	a single-stage amplifier topology that maximizes voltage gain (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
52	Opt	a single-stage opamp topology that maximizes voltage gain (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
53	Opt	a multi-stage amplifier topology that maximizes voltage gain (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
54	Opt	a multi-stage opamp topology that maximizes voltage gain (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
55	Opt	a single-stage amplifier topology that maximizes Gain-Bandwidth Product (GBW) (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
56	Opt	a single-stage opamp topology that maximizes Gain-Bandwidth Product (GBW) (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
57	Opt	a multi-stage amplifier topology that maximizes Gain-Bandwidth Product (GBW) (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
58	Opt	a multi-stage opamp topology that maximizes Gain-Bandwidth Product (GBW) (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
59	Opt	a single-stage amplifier topology that maximizes GBW/Power (FoM) (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
60	Opt	a single-stage opamp topology that maximizes GBW/Power (FoM) (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
61	Opt	a multi-stage amplifier topology that maximizes GBW/Power (FoM) (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
62	Opt	a multi-stage opamp topology that maximizes GBW/Power (FoM) (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
63	Opt	a single-stage amplifier (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
64	Opt	a single-stage opamp (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
65	Opt	a multi-stage amplifier (preventing positive feedback)	Vin	Vout	Amplifier	Unknown	NA	NA
66	Opt	a multi-stage opamp (preventing positive feedback)	Vinp, Vinn	Vout	Opamp	Unknown	NA	NA
